MTO_Number,Production_Orders,Materials
AS2509059-A1,34,"05.06.06.015,05.05.05.039,05.05.08.10,05.02.21.06,05.02.24.02,05.05.03.004,05.05.04.032,05.02.11.03,05.06.18.01,05.06.02.19,05.06.03.08,05.06.09.16,05.20.03.01.019,05.05.22.05,05.05.20.04,05.20.02.03.032,05.20.02.10.024,05.05.10.025,05.08.02.02.012,05.02.22.01,05.20.01.03.009,05.20.01.11.005,05.02.04.060,03.01.004,03.05.001,03.04.001,03.03.001,03.02.11.085,07.18.001,07.02.070"
AS2509059,1,05.06.08.025
AS2509058,2,"03.03.001,07.02.125"
AS2509057,2,"03.03.001,07.02.125"
AS2509053,56,"05.02.26.26,05.02.24.01,05.02.26.30,05.02.08.040,05.02.21.03,05.02.11.01,05.02.04.055,05.02.03.058,05.20.01.11.035,05.02.22.01,05.20.01.11.003,05.02.15.23,05.02.20.24,05.02.03.005,05.02.01.27,05.20.01.11.039,05.02.27.056,05.02.04.101,03.02.02.057,03.03.001,03.04.001,05.20.01.01.027,07.02.053,07.02.114"
AS2509052,8,"03.02.07.012,03.02.02.077,03.02.02.126,03.02.02.150,03.02.06.008,03.02.03.053,03.03.001,05.02.08.045"
AS2509051,8,"05.08.02.02.020,03.02.02.151,03.02.02.150,03.02.03.052,03.02.11.125,03.02.03.032,03.02.03.060,03.02.02.171"
AS2509050-2,6,"05.20.03.02.029,05.20.02.14.01.001,03.03.001,03.02.03.052,07.18.445"
AS2509049-2,6,"05.20.03.02.029,05.20.02.14.01.001,03.03.001,03.02.03.052,07.18.445"
AS2509048-2,6,"05.20.03.02.029,05.20.02.14.01.001,03.03.001,03.02.03.052,07.18.445"
AS2509048,1,05.02.14.21
AS2509046,11,"05.06.04.046,05.06.18.06,05.06.12.026,05.06.08.037,05.06.09.21,05.06.03.10,05.06.02.25,05.20.03.01.039,05.06.05.040,03.03.001,07.04.021"
AS2509044,41,"05.02.26.12,05.02.04.074,05.02.26.14,05.02.27.022,05.02.03.028,05.02.27.041,05.20.01.11.021,05.02.12.15,05.02.20.23,05.02.03.031,05.20.01.11.023,05.20.01.10.018,05.02.04.037,03.04.001,03.03.001,07.02.083,07.02.037"
AS2509043,130,"05.02.04.088.001,05.02.04.075,05.02.26.16,05.02.26.01,05.02.03.013,05.02.26.30,05.02.12.16,05.02.26.14,05.02.27.022,05.02.26.12,05.02.04.074,05.02.04.043,05.02.03.028,05.02.31.01,05.02.03.033,05.02.01.20,05.20.01.11.025,05.02.27.026,05.02.30.01,05.02.01.45,05.02.20.01,05.20.01.11.012,05.02.27.004,05.02.04.120,05.20.01.05.003,05.02.03.052,05.20.01.14.001,05.02.21.15,05.02.04.088,05.02.03.023,05.02.03.015,05.20.01.11.039,05.02.27.042,05.20.01.09.010,05.02.03.031,05.20.01.11.023,05.20.01.10.018,05.02.04.037,05.02.20.23,05.02.27.041,05.20.01.11.021,05.02.12.15,03.03.001,03.04.001,07.02.043,07.02.060,07.02.098,07.02.084,07.02.037,07.02.083"
AS2509040,42,"03.03.001,03.02.02.150,07.07.004,07.02.040,07.25.75,07.01.74,07.01.06,07.01.08,07.06.004,07.02.084,07.02.024,07.25.57,07.18.358,07.02.038,07.02.124,07.02.086,07.17.043,07.17.045,07.18.114,07.17.139,07.17.145,07.17.144,07.17.138,07.17.140,07.01.14,07.02.068,07.02.138,07.02.135,03.05.001"
AS2509038,167,"05.02.26.26,05.02.24.01,05.06.05.001,05.06.05.034,05.06.05.009,05.05.01.041,05.05.05.036,05.05.07.11,05.05.06.07,05.05.12.05,05.05.07.08,05.07.20.03,05.07.20.02,05.07.20.04,05.07.20.06,05.07.20.05,05.02.08.003,05.02.21.03,05.02.11.01,05.02.04.055,05.06.12.001,05.05.03.004,05.20.01.11.035,05.02.15.14,05.02.19.01,05.02.22.01,05.20.01.11.003,05.06.18.01,05.06.09.01,05.06.07.001,05.06.03.02,05.06.02.01,05.06.01.01,05.20.03.02.001,05.06.12.015,05.06.07.020,05.20.03.01.025,05.06.18.06,05.06.12.010,05.06.07.008,05.06.22.01,05.06.02.07,05.20.03.02.011,05.05.22.05,05.05.20.04,05.20.02.06.010,05.05.06.14,05.05.04.030,05.20.02.03.030,05.20.02.10.018,05.05.09.027,05.08.01.01.009,05.05.01.003,05.20.02.04.002,05.20.02.05.005,05.05.04.008,05.05.05.010,05.20.02.10.014,05.05.09.010,05.08.01.02.006,05.20.04.01.17.05,05.20.04.01.17.04,05.20.04.01.17.03,05.07.02.01,05.20.04.01.17.06,05.07.02.03,05.20.04.01.17.02,03.02.06.003,05.20.01.01.038,03.01.004,03.04.001,03.03.001,05.01.54,07.06.001,07.01.54,07.02.053,07.04.037,07.04.013,07.04.050,07.03.038,07.03.015,07.05.15.05,07.05.15.04,07.05.15.03,07.05.15.06,07.05.15.02,05.05.01.055"
AS2509036,55,"07.02.065,07.03.077,05.02.04.059,05.02.26.12,05.02.21.05,05.02.24.02,05.05.01.013,05.05.08.07,05.02.26.14,05.02.27.022,05.02.03.028,05.02.27.038,05.02.11.01,05.02.04.055,05.08.02.02.027,05.05.05.073,05.20.01.11.021,05.02.22.01,05.20.01.03.008,05.20.01.11.005,05.05.01.015,05.05.01.014,05.20.02.06.005,05.05.01.012,05.05.04.056,05.20.02.10.023,05.05.10.063,05.02.20.24,05.02.03.031,05.20.01.11.023,05.20.01.10.018,05.02.04.037,03.02.02.130,03.02.03.054,03.03.001,03.04.001,03.02.02.120,07.02.056,07.02.037"
AS2509035,10,"07.02.084,07.02.112,07.02.117,07.03.014,07.03.052,07.03.085,03.02.02.078,03.02.03.060,03.02.02.143,03.03.001"
AS2509034,324,"05.02.04.073,05.06.05.046,05.06.05.037,05.02.26.12,05.02.04.047,05.02.21.04,05.02.21.03,05.02.26.14,05.02.27.022,05.05.05.046,05.05.05.044,05.05.05.043,05.06.05.049,05.06.12.025,05.06.05.056,05.06.05.051,05.02.26.03,05.02.27.039,05.02.26.30,05.02.27.044,05.06.05.035,05.05.05.045,05.05.04.041,05.05.05.047,05.02.08.002,05.02.08.003,05.02.12.14,05.02.11.03,05.02.11.01,05.02.04.055,05.02.04.071,05.20.03.02.043,05.20.03.02.037,05.02.03.036,05.02.03.035,05.20.01.11.021,05.02.27.029,05.02.12.06,05.02.03.023,05.02.03.015,05.02.27.040,05.20.01.03.006,05.02.04.060,05.02.22.01,05.20.01.03.005,05.20.01.11.003,05.02.03.031,05.20.01.11.023,05.20.01.10.018,05.02.04.037,05.06.18.06,05.06.02.09,05.06.08.033,05.06.12.027,05.06.07.021,05.06.05.045,05.05.04.040,05.20.02.03.038,05.05.10.033,05.08.02.02.017,05.05.04.038,05.20.02.03.036,05.05.10.031,05.08.01.01.013,05.05.04.037,05.20.02.03.035,05.05.10.030,05.08.01.01.012,05.06.04.036,05.06.04.067,05.06.04.048,05.20.03.01.033,05.20.03.05.04,05.06.08.035,05.06.09.19,05.06.17.01,05.06.18.05,05.06.12.031,05.06.03.09,05.06.02.22,05.06.21.04,05.06.20.05,05.06.04.056,05.06.04.032,05.06.04.068,05.06.04.045,05.20.03.01.028,05.06.18.03,05.06.12.015,05.06.08.040,05.06.02.14,05.20.03.02.044,05.02.20.23,05.02.13.02,05.20.01.11.014,05.20.01.10.027,05.02.20.18,05.02.03.003,05.02.13.01,05.20.01.11.039,05.20.01.10.028,05.02.04.077,05.06.12.024,05.06.08.034,05.06.04.066,05.20.03.02.035,05.05.22.04,05.05.19.02,05.05.04.039,05.20.02.03.037,05.05.10.032,05.08.02.02.016,05.05.01.011,05.05.03.006,05.05.02.09,05.05.13.02,05.20.02.08.006,05.20.02.03.039,05.05.08.11,05.05.10.034,05.08.01.02.017,03.02.07.010,03.02.07.009,05.20.01.01.002,05.04.01,03.02.07.003,05.20.01.01.038,03.02.02.086,03.02.02.087,03.04.001,03.02.02.083,03.03.001,07.07.007,07.07.001,07.04.028,07.04.018,07.02.047,07.02.082,07.02.057,07.02.053,07.02.037,07.18.297,07.04.017,07.04.027,07.03.050,07.03.047,07.03.046,07.18.306,07.04.035,07.04.019,07.04.034,07.02.079,07.02.086,07.04.016,07.03.048,07.03.051,07.26.02.02.004"
AS2509033,306,"07.04.032,05.02.04.073,05.02.26.12,05.02.04.047,05.02.26.14,05.02.27.022,05.06.05.046,05.05.05.045,05.02.26.03,05.02.27.039,05.02.26.30,05.02.27.044,05.05.04.041,05.05.05.047,05.06.05.049,05.06.12.025,05.06.05.056,05.02.21.04,05.02.21.03,05.06.05.051,05.05.05.043,05.06.05.035,05.02.08.002,05.02.08.003,05.03.09,05.02.12.14,05.02.04.071,05.02.11.03,05.02.11.01,05.02.04.055,05.03.04,05.02.27.040,05.02.03.036,05.02.03.035,05.20.01.11.021,05.02.27.029,05.02.12.06,05.20.01.11.023,05.20.01.10.018,05.02.04.037,05.06.08.047,05.20.03.02.043,05.05.04.039,05.20.02.03.037,05.05.10.032,05.08.02.02.016,05.02.20.23,05.02.13.02,05.20.01.11.014,05.20.01.10.027,05.02.03.003,05.02.13.01,05.20.01.11.039,05.20.01.10.028,05.02.04.077,05.05.01.011,05.05.02.09,05.05.13.02,05.20.02.08.006,05.20.02.03.039,05.05.10.034,05.08.01.02.017,05.06.04.036,05.06.04.067,05.06.04.048,05.20.03.01.033,05.06.17.01,05.06.18.05,05.20.03.05.04,05.06.12.031,05.06.09.19,05.06.08.035,05.06.03.09,05.06.02.22,05.06.21.04,05.06.20.05,05.06.04.056,05.06.04.032,05.06.04.068,05.06.04.045,05.20.03.01.028,05.20.01.03.006,05.02.04.060,05.02.22.01,05.20.01.03.005,05.20.01.11.003,05.06.18.03,05.06.12.015,05.06.08.040,05.06.02.14,05.20.03.02.044,05.05.03.006,05.05.22.04,05.05.19.02,05.05.04.037,05.20.02.03.035,05.05.08.11,05.05.10.030,05.08.01.01.012,05.06.12.027,05.06.07.021,05.06.05.045,05.06.04.066,05.20.03.02.035,03.02.07.010,03.02.07.009,05.20.01.01.002,05.04.01,03.02.07.003,05.20.01.01.038,05.06.12.024,03.02.02.083,03.02.02.086,03.04.001,03.02.02.087,03.03.001,05.01.05,07.07.007,07.06.001,07.07.001,07.06.003,07.02.082,07.02.047,07.02.037,07.01.05,07.18.299,07.04.028,07.09.001,07.03.048,07.03.051,07.02.079,07.02.086,07.18.306,07.04.035,07.04.019,07.02.057,07.02.053,07.04.034,07.03.046,07.04.027,07.04.016,07.26.02.02.004"
AS2509032,35,"05.02.10.09,05.02.26.14,05.02.26.16,05.02.04.044.001,05.02.27.022,05.02.08.023,05.02.20.23,05.02.03.031,05.20.01.11.023,05.02.04.037.001,05.02.03.034,05.02.01.20,05.20.01.11.025,05.02.27.026,05.02.15.11.001,03.03.001,07.02.037,07.02.044"
AS2509030,49,"05.02.24.06,05.02.26.18,05.02.03.054,05.02.27.046,05.02.08.002,05.02.14.05,05.20.01.11.010,05.02.25.01,05.02.04.089,05.02.20.16,05.20.01.11.026,05.02.04.082,03.01.004,03.03.001,03.04.001,03.02.07.010.01,03.02.07.009.01,05.20.01.01.002,05.04.01,05.01.06,05.01.10,07.07.007,07.02.105,07.02.096,07.01.06,07.01.10"
AS2509028,23,"05.02.26.26,05.02.24.01,05.02.08.014,05.02.21.03,05.02.11.01,05.02.04.055,05.20.01.11.035,05.02.22.01,05.20.01.11.003,03.03.001,03.04.001,05.20.01.01.011,05.02.08.015,07.02.053"
AS2509027,11,"07.18.172,07.18.163,07.03.031,07.03.030,07.03.028,07.03.065,07.18.149,07.18.441,03.02.03.058,03.02.11.130,03.03.001"
AS2509026,500,"05.02.10.19,05.02.10.18,05.02.04.026,05.02.04.073,05.02.04.113,05.02.24.09,05.02.26.02,05.02.26.33,05.02.04.103,05.02.26.21,05.02.26.01,05.06.06.018,05.02.26.26,05.02.04.044,05.02.26.24,05.02.26.30,05.02.27.045,05.02.26.18,05.02.26.16,05.02.26.08,05.02.26.39,05.02.26.45,05.02.04.041,05.02.26.50,05.02.08.006,05.02.08.002,05.02.08.027,05.02.08.003,05.02.08.014,05.02.08.038,05.02.08.040,05.02.08.030,05.02.08.032,05.02.08.037,05.02.08.023,05.02.08.056,05.02.21.05,05.02.27.003,05.02.14.07,05.02.12.03,05.05.08.07,05.05.03.004,05.02.07.03,05.02.21.03,05.02.11.01,05.02.04.055,05.02.12.14,05.02.27.019,05.02.03.047,05.02.27.046,05.02.04.095,05.02.12.31,05.02.01.51,05.02.14.24,05.02.04.158,05.04.06,05.20.01.11.052,05.02.03.025,05.20.01.11.013,05.02.04.003,05.09.10.01,05.02.01.30,05.20.01.11.042,05.02.27.058,05.02.15.25,05.20.01.11.029,05.02.07.04,05.02.04.021,05.02.03.062,05.02.01.02,05.20.01.11.012,05.02.27.031,05.02.15.29,05.06.08.029,05.06.18.01,05.06.11.06,05.06.12.022,05.06.11.01,05.06.11.08,05.06.11.03,05.06.11.05,05.06.02.04,05.20.03.02.033,05.02.04.019,05.20.01.11.035,05.02.19.01,05.02.22.01,05.20.01.11.003,05.02.03.034,05.02.01.20,05.02.27.026,05.02.15.11,05.20.01.11.032,05.02.04.033,05.02.27.040,05.20.01.11.039,05.20.01.10.030,05.02.04.079,05.02.03.066,05.02.03.029,05.02.04.032,05.02.09.01,05.02.27.043,05.02.14.11,05.02.21.12,05.02.04.076,05.02.20.16,05.20.01.11.026,05.02.04.082,05.24.01.02,05.02.20.27,05.20.01.11.025,05.02.27.052,05.02.20.37,05.02.20.36,05.20.01.11.018,05.02.27.064,05.02.01.42,05.02.14.19,05.02.04.117,05.02.20.34,05.02.20.33,05.02.01.40,05.20.01.11.048,05.02.20.24,05.02.03.071,05.02.03.070,05.02.03.069,05.20.01.11.056,05.02.12.04,05.02.20.46,05.20.01.11.065,05.02.27.072,03.02.07.008,05.20.01.01.004,03.02.07.010,05.04.01,03.02.07.009,05.20.01.01.002,05.20.01.01.019,03.02.06.003,05.20.01.01.038,03.05.001,03.01.001,05.02.08.015,05.20.01.01.011,03.02.02.151,05.20.01.01.026,05.20.01.01.027,05.20.01.01.020,05.20.01.01.022,05.20.01.01.025,05.20.01.01.015,03.02.02.150,05.02.08.057,05.20.01.01.034,03.04.001,03.03.001,05.01.70,05.01.56,05.01.06,05.24.02.02,03.02.02.171,05.01.90,07.07.004,07.07.007,07.06.001,07.02.065,07.02.003,07.06.002,07.02.116,07.02.022,07.02.027,07.02.058,07.25.71,07.04.009,07.19.026,07.02.020,07.02.053,07.02.044,07.02.033,07.02.082,07.02.088,07.02.032,07.02.085,07.02.096,07.25.57,07.01.06,07.38.002,07.02.108,07.02.134,07.02.129,07.02.041,07.02.138,07.25.83,03.14.001,05.02.10.09"
AS2509025,139,"05.06.05.062,05.05.05.022,05.02.04.075,05.02.04.073,05.02.04.059,05.02.26.09,05.02.04.074,05.02.26.14,05.02.26.12,05.02.04.052,05.02.26.18,05.02.26.30,05.09.01.08,05.05.04.021,05.09.02.02,05.02.01.01,05.02.27.038,05.02.03.028,05.02.27.022,05.02.27.034,05.02.27.046,05.02.12.16,05.02.12.14,05.05.01.041,05.08.02.02.005,05.20.01.11.019,05.02.27.016,05.02.04.023,05.02.27.041,05.02.12.15,05.02.03.031,05.20.01.11.023,05.02.04.037,05.02.20.23,05.02.03.038,05.20.01.11.021,05.02.15.12,05.02.20.16,05.20.01.11.026,05.02.04.082,05.02.27.042,05.02.20.18,05.02.03.023,05.02.03.015,05.02.27.040,05.20.01.11.039,05.06.18.06,05.06.12.015,05.06.09.07,05.06.08.009.01,05.06.03.11,05.06.01.03,05.06.02.30,05.20.03.02.060,05.05.22.05,05.05.20.04,05.09.03.02,05.20.02.03.061,05.05.10.017,03.03.001,03.04.001,05.01.62,05.01.08,03.02.11.132,05.01.06,07.22.006,07.02.024,07.02.056,07.02.083,07.02.037,07.02.050,07.02.096,07.02.084,07.02.082,07.18.436,07.01.62,07.01.08,07.01.50,07.01.06,07.01.45"
AS2509022,6,"03.04.001,03.03.001,07.02.140,05.02.08.057,05.02.08.056,05.02.04.168"
AS2509021-6,7,"07.02.116,07.02.101,07.02.106,07.02.030"
AS2509021-5,11,"07.02.030,07.02.100,07.02.116,07.02.101,07.02.106"
AS2509021-4,11,"07.02.030,07.02.100,07.02.116,07.02.101,07.02.106"
AS2509021-3,2,07.02.109
AS2509021-2,2,07.02.109
AS2509021-1,2,07.02.109
AS2509020-6,43,"03.04.001,03.03.001"
AS2509020-5,45,"03.04.001,03.03.001"
AS2509020-4,45,"03.04.001,03.03.001"
AS2509020-3,17,"03.04.001,03.03.001,07.41.001"
AS2509020-2,22,"03.04.001,03.03.001,07.41.001"
AS2509020-1,22,"03.04.001,03.03.001,07.41.001"
AS250902-1,1,05.02.04.099
AS2509019,389,"05.05.08.07,05.02.24.02,05.20.01.11.005,05.02.10.01,05.05.05.065,05.05.05.022,05.02.26.12,05.02.04.047,05.02.04.169,05.02.26.50,05.02.26.36,05.02.04.109.002,05.02.04.095,05.02.26.16,05.05.05.066,05.06.06.001,05.05.01.040,05.06.06.047,05.06.06.010,05.05.05.017,05.06.05.021,05.06.06.008,05.05.05.074,05.05.05.048,05.05.05.028,05.06.05.023,05.05.07.11,05.05.08.03,05.05.17.01,05.02.21.06,05.02.11.03,05.02.14.25,05.02.01.52,05.02.36.01,05.02.04.044,05.02.04.055,05.02.21.05,05.02.11.01,05.05.04.021,05.08.02.02.005,05.06.12.001,05.08.02.02.029,05.05.03.004,05.05.07.06,05.05.04.026,05.05.01.041,05.02.08.040,05.02.08.045,05.02.04.060,05.02.20.23,05.02.03.036,05.02.03.035,05.20.01.11.021,05.02.27.029,05.02.12.06,05.02.15.54,05.02.20.46,05.20.01.11.065,05.02.27.075,05.02.04.167,05.02.04.109.003,05.02.22.07,05.02.20.30,05.02.20.29,05.02.01.36,05.20.01.11.045,05.02.27.061,05.02.04.109.001,05.02.20.27,05.02.27.052,05.02.15.31,05.02.03.034,05.02.01.20,05.20.01.11.025,05.02.27.026,05.02.19.01,05.02.22.01,05.02.15.14,05.20.02.03.053,05.05.03.012,05.20.02.03.054,05.06.18.01,05.06.09.01,05.06.08.001,05.06.03.02,05.06.02.01,05.20.03.01.002,05.05.20.03,05.05.02.13,05.20.02.06.009,05.05.04.036,05.05.05.042,05.05.09.031,05.08.02.02.015,05.06.18.03,05.06.08.040,05.06.02.14,05.20.03.01.032,05.06.18.06,05.06.08.002,05.06.09.08,05.06.03.03,05.06.02.02,05.20.03.01.013,05.05.01.007,05.05.02.19,05.05.12.08,05.05.02.06,05.05.04.015,05.20.02.03.016,05.05.10.012,05.08.01.01.003,05.06.12.015,05.06.07.013,05.20.03.02.023,05.06.18.02,05.06.07.009,05.06.09.07,05.06.01.03,05.20.03.01.045,05.05.04.057,05.20.02.03.057,05.05.09.045,05.05.04.042,05.20.02.03.040,05.05.09.037,05.08.02.02.018,05.05.09.021,05.20.02.03.026,05.08.02.02.009,05.06.07.014,05.20.03.02.025,05.20.02.10.023,05.05.10.017,05.05.03.014,05.05.22.05,05.05.20.04,05.05.04.022,05.20.02.03.021,05.20.02.10.018,05.05.09.015,05.08.02.02.006,05.20.02.10.009,03.04.001,05.20.02.01.002,03.05.001,03.03.001,03.02.03.058,05.01.06,03.02.03.052,03.02.03.053,07.02.070,07.02.047,07.09.002,07.02.139,07.02.124,07.02.108,07.02.044,07.02.065,07.01.06,07.03.070,07.03.071,07.18.019,07.18.281,07.03.079,07.03.028,07.18.211,07.18.125,07.18.200,07.04.082,07.18.389,07.03.052,07.03.030,07.09.001,07.03.035,07.18.155,05.20.02.06.010"
AS2509018,31,"05.06.06.008,05.05.08.01,05.06.06.004,05.06.12.001,05.05.03.004,05.05.08.07,05.05.10.021,05.06.18.02,05.06.09.07,05.06.08.009.02,05.06.01.03,05.20.03.01.045,05.20.02.04.005,05.05.04.002,05.20.02.10.003,05.05.10.003,05.08.02.02.003,05.06.18.06,05.06.12.003,05.06.08.007,05.06.09.03,05.20.03.01.044,05.20.02.06.006,05.08.02.02.009,03.03.001,03.02.11.125,03.02.11.001,07.18.033,07.18.206"
AS2509017,14,"05.06.06.004,05.05.03.004,05.05.08.07,05.05.10.021,05.06.18.06,05.06.12.003,05.06.08.007,05.06.09.03,05.20.03.01.044,05.20.02.06.006,05.08.02.02.009,03.03.001,03.02.11.001,07.18.206"
AS2509016,3,"03.03.001,05.06.08.008,07.09.006"
AS2509015,3,"03.03.001,05.06.08.008,07.09.006"
AS2509013-2,182,"05.05.05.022,05.02.26.33,05.02.26.30,05.02.26.18,05.06.05.004,05.06.06.004,05.05.01.041,05.02.26.45,05.02.04.102,05.06.06.045,05.07.30.05,05.07.30.06,05.07.30.07,05.07.30.04,05.07.30.03,05.07.22.03,05.07.22.01,05.02.03.058,05.02.27.018,05.03.09,05.05.07.10,05.07.02.04,05.07.02.06,05.02.08.001,05.04.06,05.20.01.11.042,05.02.27.055,05.02.04.099,05.02.03.005,05.02.01.27,05.20.01.11.039,05.02.27.056,05.02.04.101,05.02.20.16,05.20.01.11.026,05.02.04.025,05.03.04,05.20.03.02.004,05.06.07.002,05.06.09.03,05.06.02.03,05.20.03.01.044,05.05.03.014,05.05.22.05,05.05.20.04,05.20.02.06.010,05.05.04.022,05.20.02.03.021,05.05.09.015,05.08.02.02.006,05.02.20.24,05.02.22.04,05.02.09.04,05.02.01.29,05.20.01.11.056,05.02.27.057,05.02.15.24,05.06.03.11,05.06.01.03,05.06.09.07,05.06.18.06,05.06.02.30,05.06.12.015,05.06.07.009,05.20.03.01.035,05.20.04.01.16.03,05.20.04.01.16.02,05.20.04.01.16.01,05.07.02.01,05.20.04.01.16.04,05.07.02.03,05.20.04.01.16.05,05.20.04.01.12.02,05.20.04.02.01.01,05.20.04.01.12.03,03.02.06.007,03.01.001,03.04.001,03.02.04.003,03.03.001,03.02.11.103,05.01.10,07.02.112,07.02.114,07.02.026,07.20.004,07.18.159,07.01.10,07.02.115,07.04.068,07.05.26.05,07.05.26.06,07.05.26.07,07.05.26.04,07.05.26.03,07.05.17.01,07.05.17.04"
AS2509013-1,93,"05.02.24.06,05.05.05.022,05.02.26.26,05.02.24.01,05.02.03.011,05.06.23.03,05.05.05.078,05.05.01.040,05.06.06.008,05.02.21.03,05.02.11.01,05.02.04.055,05.02.21.04,05.02.11.03,05.06.12.001,05.05.08.04,05.20.01.11.035,05.20.01.11.003,05.02.04.060,05.20.01.05.001,05.02.20.24,05.02.22.01,05.02.19.01,05.02.21.09,05.20.01.11.010,05.02.11.05,05.02.04.064,05.06.04.017,05.06.08.015,05.06.09.11,05.20.03.02.018,05.06.18.06,05.06.04.033,05.06.24.02,05.06.20.05,05.06.21.04,05.06.02.17,05.20.02.03.051,05.05.10.042.001,05.05.02.13,05.20.02.06.009,05.05.20.03,05.05.04.050,05.08.01.01.016,05.06.18.02,05.06.07.009,05.06.09.07,05.06.01.03,05.20.03.01.045,05.20.02.06.010,05.20.02.03.021,05.05.10.017,05.08.02.02.006,03.01.004,03.04.001,03.03.001,03.02.11.118,03.02.11.031,07.02.053,07.02.057,07.02.073,07.18.446,07.18.153"
AS2509011,31,"07.18.114,07.17.144,03.05.001,03.03.001,07.17.140,07.02.037,07.18.358,07.02.124,07.01.74,07.01.06,07.02.049,07.02.038,07.02.012,07.02.086,07.02.084,07.02.024,07.17.145,07.17.138,03.02.03.032.01,03.02.02.077.01,03.02.02.150.01,03.02.02.151.01,03.02.03.053.01"
AS2509010,9,"05.05.05.028,05.02.21.04,05.02.04.037,05.02.04.059,05.05.09.015,05.02.04.060,05.02.26.14"
AS2509009-3,169,"05.06.06.007,05.05.05.039,05.05.08.03,05.06.06.045,05.05.05.008,05.05.05.004,05.05.07.11,05.05.04.032,05.05.09.029,05.08.02.02.022,05.05.07.12,05.05.06.05,05.08.01.02.004,05.05.06.03,05.05.07.04,05.06.22.01,05.06.02.07,05.20.03.01.043,05.05.02.06,05.05.19.01,05.20.02.03.032,05.08.02.02.012,05.05.04.052,05.05.05.063,05.20.02.10.006,05.05.09.041,05.06.03.11,05.06.01.03,05.06.09.07,05.06.18.06,05.06.02.30,05.06.12.015,05.06.07.009,05.20.03.01.035,05.05.20.05,05.05.02.20,05.05.01.022,05.05.04.006,05.20.02.03.008,05.05.09.008,05.05.03.001,05.05.02.02,05.05.02.15,05.05.04.002,05.20.02.03.004,05.05.09.004,05.08.02.02.003,05.05.20.03,05.05.03.014,05.05.02.13,05.05.01.040,05.05.04.036,05.05.05.042,05.20.02.10.018,05.05.09.031,05.08.02.02.015,03.03.001,03.02.03.060,03.02.11.132,07.03.041,07.18.244,07.03.068,07.18.358,07.18.037,07.03.013,07.18.349,07.03.009,07.03.045,05.05.22.02"
AS2509009-2,168,"05.05.05.004,05.06.06.007,05.06.06.045,05.05.05.039,05.05.08.03,05.05.05.008,05.05.07.11,05.05.06.03,05.05.07.04,05.05.04.032,05.05.09.029,05.08.02.02.022,05.05.06.05,05.05.07.12,05.08.01.02.004,05.05.03.001,05.05.02.02,05.05.02.15,05.05.04.002,05.20.02.03.004,05.05.09.004,05.08.02.02.003,05.06.22.01,05.06.02.07,05.20.03.01.043,05.06.18.06,05.06.03.11,05.06.12.015,05.06.09.07,05.06.07.009,05.06.02.30,05.06.01.03,05.20.03.01.035,05.05.02.06,05.05.19.01,05.20.02.03.032,05.08.02.02.012,05.05.04.052,05.05.05.063,05.20.02.10.006,05.05.09.041,05.05.20.05,05.05.02.20,05.05.01.022,05.05.04.006,05.20.02.03.008,05.05.09.008,05.05.20.03,05.05.03.014,05.05.02.13,05.05.01.040,05.05.04.036,05.05.05.042,05.20.02.10.018,05.05.09.031,05.08.02.02.015,03.03.001,03.02.03.060,03.02.11.132,07.18.037,07.18.358,07.18.244,07.18.349,07.03.041,07.03.068,07.03.013,07.03.045"
AS2509009-1-3,1,05.05.04.002
AS2509009-1,210,"05.02.24.01,05.02.24.06,05.05.07.11,05.05.05.008,05.05.05.004,05.06.06.007,05.05.05.039,05.06.06.045,05.05.08.03,05.02.08.014,05.02.21.03,05.02.11.01,05.02.04.055,05.05.06.05,05.08.01.02.004,05.05.06.03,05.05.07.04,05.05.04.032,05.05.07.12,05.05.09.029,05.08.02.02.022,05.02.22.01,05.20.01.11.003,05.02.22.02,05.02.03.041,05.02.03.063,05.02.21.07,05.20.01.11.010,05.02.11.04,05.02.04.062,05.05.04.036,05.05.05.042,05.20.02.10.018,05.05.09.031,05.08.02.02.015,05.05.20.05,05.05.02.20,05.05.01.022,05.05.04.006,05.20.02.03.008,05.05.09.008,05.05.03.001,05.05.02.02,05.05.02.15,05.05.04.002,05.20.02.03.004,05.05.09.004,05.08.02.02.003,05.06.22.01,05.06.02.07,05.20.03.01.043,05.05.02.06,05.05.19.01,05.20.02.03.032,05.08.02.02.012,05.06.18.06,05.06.12.015,05.06.09.07,05.06.07.009,05.06.03.11,05.06.01.03,05.06.02.30,05.20.03.01.035,05.05.03.014,05.05.20.03,05.05.02.13,05.05.01.040,05.05.04.052,05.05.05.063,05.20.02.10.006,05.05.09.041,03.04.001,05.02.08.015,05.20.01.01.011,03.02.03.060,03.03.001,03.02.11.132,07.02.053,07.02.071,07.18.349,07.03.009,07.03.045,07.03.013,07.18.037,07.18.244,07.03.041,07.03.068,07.18.358,05.05.03.004"
